ocdid,location name,address_line1,address_city,address_state,address_zip,directions,start_date,end_date,start_time,end_time
ocd-division/country:us/district:dc,DC BOE Office,441 4th Street NW,Washington,DC,20001,"Closest Metro Stop: Judiciary Square, <0.1 miles",10/22/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,Malcolm X Elementary School,1351 Alabama Avenue SE,Washington,DC,20032,"Closest Metro Stop: Congress Heights, < 0.1 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,Sherwood Recreation Center,640 10th Street NE,Washington,DC,20024,"Closest Metro Stop: Union Station, <1.1 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,Chevy Chase Community Center,5601 Connecticut Avenue NW,Washington,DC,20015,"Closest Metro Stop: Friendship Heights, <0.7 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,Columbia Heights Community Center,1480 Girard Street NW,Washington,DC,20009,"Closest Metro Stop: Columbia Heights, <0.3 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,Dorothy Height/Benning Library,3935 Benning Rd. NE,Washington,DC,20019,"Closest Metro Stop: Benning Road Metro, 0.5 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,King Greenleaf Recreation Center,201 N Street SW,Washington,DC,20024,"Closest Metro Stop: Waterfront, <0.4 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,Old Council Chambers One Judiciary Square,441 4th Street NW,Washington,DC,20001,"Closest Metro Stop: Judiciary Square, <0.1 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,Takoma Community Center,300 Van Buren Street NW,Washington,DC,20011,"Closest Metro Stop: Takoma Metro, <0.5 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00
ocd-division/country:us/district:dc,Turkey Thicket Recreation Center,1100 Michigan Avenue NE,Washington,DC,20017,"Closest Metro Stop: Brookland/CUA, <0.4 miles",10/28/16,11/4/16,08:30:00 - 04:00,19:00:00 - 04:00