County,Precinct Name,Precinct Number,Total Number of Registered Voters as of 05/10/2016,HD,SD,Polling Place Location,Polling Place Address,Polling Place City,Polling Place Zip,Polling Place Hours,Late Registration Location (if different or in addition to county election office)                               *Election Day Registration location only  **Other,Late Registration Address                           (if different or in addition to county election office)
Deer Lodge,PRECINCT 5-77N,PC_577N,673,77,39,AHS TECHNOLOGY CENTER,1410 W PARK AVE,ANACONDA,59711,7:00 am - 8:00 pm,,
Deer Lodge,PRECINCT 5-77S,PC_577S,525,77,39,AHS TECHNOLOGY CENTER,1410 W PARK AVE,ANACONDA,59711,7:00 am - 8:00 pm,,
Fallon,PRECINCT 1,PREC_1,566,37,19,PCT'S 1,2, 3  AT EXHIBIT HALL,3440 HIGHWAY 7,BAKER,59313,7:00 am - 8:00 pm
Fallon,PRECINCT 2,PREC_2,497,37,19,PCT'S 1,2, 3  AT EXHIBIT HALL,3440 HIGHWAY 7,BAKER,59313,7:00 am - 8:00 pm
Fallon,PRECINCT 3,PREC_3,515,37,19,PCT'S 1,2, 3  AT EXHIBIT HALL,3440 HIGHWAY 7,BAKER,59313,7:00 am - 8:00 pm
Fallon,PRECINCT 4,PREC_4,294,37,19,PREC 4 PLEVNA FIRE HALL,105 CALLIN AVENUE WEST,PLEVNA,59344,* Noon - 8:00 pm,,
Fergus,PREC 10,PREC_10,429,29,15,TRADE CENTER #10,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 11,PREC_11,557,29,15,TRADE CENTER #11,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 12,PREC_12,113,30,15,TRADE CENTER #12,100 FAIRGROUNDS RD,LEWISTOWN,59457,Contact County,,
Fergus,PREC 13,PREC_13,650,29,15,TRADE CENTER #13,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 14,PREC_14,396,30,15,MOORE FIRE HALL #14,302 FERGUS AVE,MOORE,59464,7:00 am - 8:00 pm,,
Fergus,PREC 16,PREC_16,277,29,15,WINIFRED COMMUNITY CENTER #16,200 MAIN ST,WINIFRED,59489,7:00 am - 8:00 pm,,
Fergus,PREC 17,PREC_17,518,29,15,TRADE CENTER #17,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 18,PREC_18,239,29,15,ROY SCHOOL #18,500 DAVIS ST,ROY,59471,* Noon - 8:00 pm,,
Fergus,PREC 2,PREC_2,1060,29,15,TRADE CENTER #02,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 3,PREC_3,487,30,15,TRADE CENTER #03,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 4,PREC_4,406,30,15,DENTON TOWN HALL #4,515 BROADWAY ST,DENTON,59430,7:00 am - 8:00 pm,,
Fergus,PREC 5,PREC_5,410,29,15,GRASS RANGE SCHOOL #5,310 E 2ND ST,GRASS RANGE,59032,7:00 am - 8:00 pm,,
Fergus,PREC 6,PREC_6,513,29,15,TRADE CENTER #06,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 7,PREC_7,442,29,15,TRADE CENTER #07,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 8,PREC_8,420,29,15,TRADE CENTER #08,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Fergus,PREC 9,PREC_9,447,29,15,TRADE CENTER #09,100 FAIRGROUNDS RD,LEWISTOWN,59457,7:00 am - 8:00 pm,,
Flathead,PRECINCT 1,PREC 01,885,7,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,Fairgrounds-Country Kitchen Building,265 N. Meridian Rd.
Flathead,PRECINCT 2,PREC 02,1554,7,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 3,PREC 03,1321,7,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 4,PREC 04,1492,7,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 5,PREC 05,1689,8,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 6,PREC 06,2841,6,3,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 7,PREC 07,1284,4,2,US ARMED FORCES RESERVE CENTER,2898 US HWY 93 N,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 8,PREC 08,961,4,2,DEER PARK SCHOOL,2105 MIDDLE RD,COLUMBIA FALLS,59912,7:00 am - 8:00 pm,,
Flathead,PRECINCT 11,PREC 11,1234,4,2,CAYUSE PRAIRIE SCHOOL,897 LAKE BLAINE RD,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 13,PREC 13,1865,11,6,LAKESIDE QRU,125 BILLS RD,LAKESIDE,59922,7:00 am - 8:00 pm,,
Flathead,PRECINCT 14,PREC 14,789,4,2,BAD ROCK FIRE HALL,23 COLUMBIA PINES CT,COLUMBIA FALLS,59912,7:00 am - 8:00 pm,,
Flathead,PRECINCT 15,PREC 15,1156,11,6,SMITH VALLEY FIRE HALL,3496 US HIGHWAY 2 W,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 16,PREC 16,1205,3,2,COUNCIL CHAMBERS, CF CITY HALL,130 6TH ST W ROOM A,COLUMBIA FALLS,59912,7:00 am - 8:00 pm,
Flathead,PRECINCT 17,PREC 17,346,3,2,WEST GLACIER SCHOOL,160 OLD RIVER BRIDGE RD,WEST GLACIER,59936,7:00 am - 8:00 pm,,
Flathead,PRECINCT 18,PREC 18,1744,3,2,FIRE DEPT. RM C FALLS FIRE HALL,130 6TH ST W,COLUMBIA FALLS,59912,7:00 am - 8:00 pm,,
Flathead,PRECINCT 19,PREC 19,1224,4,2,HOPE CHURCH,436 BIRCH GROVE,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 20,PREC 20,2363,5,3,WF SENIOR CITIZENS CNTR,121 E 2ND ST,WHITEFISH,59937,7:00 am - 8:00 pm,,
Flathead,PRECINCT 21,PREC 21,1127,4,2,CF HIGH SCHOOL FOYER,610 13TH ST W,COLUMBIA FALLS,59912,7:00 am - 8:00 pm,,
Flathead,PRECINCT 23,PREC 23,1141,3,2,MARTIN CITY FIRE-LIETZ HALL,320 CENTRAL AVE,MARTIN CITY,59926,7:00 am - 8:00 pm,,
Flathead,PRECINCT 24,PREC 24,898,13,7,KILA COUNTRY CHURCH,KILA - 190 COTTAGE LN,KILA,59920,7:00 am - 8:00 pm,,
Flathead,PRECINCT 25,PREC 25,1465,9,5,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 26,PREC 26,839,13,7,MARION FIRE HALL,180 GOPHER LN,MARION,59925,7:00 am - 8:00 pm,,
Flathead,PRECINCT 29,PREC 29,1792,11,6,SOMERS SCHOOL GYM,315 SCHOOL ADDITION RD,SOMERS,59932,7:00 am - 8:00 pm,,
Flathead,PRECINCT 31,PREC 31,2812,8,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 32,PREC 32,1334,7,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 33,PREC 33,616,9,5,CENTRAL BIBLE CHURCH, KALISPELL,902 1ST AVE E,KALISPELL,59901,7:00 am - 8:00 pm,
Flathead,PRECINCT 34,PREC 34,1786,11,6,CENTRAL BIBLE CHURCH, KALISPELL,902 1ST AVE E,KALISPELL,59901,7:00 am - 8:00 pm,
Flathead,PRECINCT 35,PREC 35,1695,3,2,CF HIGH SCHOOL FOYER,610 13TH ST W,COLUMBIA FALLS,59912,7:00 am - 8:00 pm,,
Flathead,PRECINCT 36,PREC 36,1924,6,3,WEST VALLEY SCHOOL,2290 FARM TO MARKET RD,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 37,PREC 37,2550,8,4,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 38,PREC 38,2236,10,5,BETHANY LUTHERAN CHURCH,8559 MT HWY 35,BIGFORK,59911,7:00 am - 8:00 pm,,
Flathead,PRECINCT 39,PREC 39,924,6,3,OLNEY FIRE HALL,11 OLNEY LOOP RD,OLNEY,59927,7:00 am - 8:00 pm,,
Flathead,PRECINCT 41,PREC 41,2044,9,5,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 42,PREC 42,1751,10,5,SWAN RIVER SCHOOL,1205 SWAN HWY,BIGFORK,59911,7:00 am - 8:00 pm,,
Flathead,PRECINCT 43,PREC 43,1970,10,5,FAIR-MONT-EGAN SCHOOL,797 FAIRMONT RD,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 44,PREC 44,1768,6,3,FIRST BAPTIST CHURCH, WHITEFISH,6232 US HIGHWAY 93 S,WHITEFISH,59937,7:00 am - 8:00 pm,
Flathead,PRECINCT 45,PREC 45,1617,5,3,MOOSE HOME, WHITEFISH,230 W 10TH ST,WHITEFISH,59937,7:00 am - 8:00 pm,
Flathead,PRECINCT 47,PREC 47,1749,5,3,WF SENIOR CITIZENS CNTR,121 E 2ND ST,WHITEFISH,59937,7:00 am - 8:00 pm,,
Flathead,PRECINCT 48,PREC 48,1058,5,3,WF ARMORY,305 ARMORY RD,WHITEFISH,59937,7:00 am - 8:00 pm,,
Flathead,PRECINCT 49,PREC 49,1330,5,3,UNITED METHODIST CHURCH,1150 WISCONSIN AVE,WHITEFISH,59937,7:00 am - 8:00 pm,,
Flathead,PRECINCT 50,PREC 50,1478,9,5,FC TRADE CENTER - FAIRGROUNDS,265 N MERIDIAN,KALISPELL,59901,7:00 am - 8:00 pm,,
Flathead,PRECINCT 89,PREC 89,627,13,7,SMITH VALLEY FIRE HALL,3496 US HIGHWAY 2 W,KALISPELL,59901,7:00 am - 8:00 pm,,
Gallatin,PCT 59A,59A,410,59,30,BRIDGER CANYON FIRE STATION,8081 BRIDGER CANYON RD,BOZEMAN,59715,* Noon - 8:00 pm,,
Gallatin,PCT 61A,61A,2064,61,31,FAIRGROUNDS BLDG 1,TAMARACK & BLACK,BOZEMAN,59715,7:00 am - 8:00 pm,,
Gallatin,PCT 61B,61B,2106,61,31,FAIRGROUNDS BLDG 1,TAMARACK & BLACK,BOZEMAN,59715,7:00 am - 8:00 pm,,
Gallatin,PCT 61C,61C,2101,61,31,FAIRGROUNDS BLDG 1,TAMARACK & BLACK,BOZEMAN,59715,7:00 am - 8:00 pm,,
Gallatin,PCT 61D,61D,2135,61,31,HOPE LUTHERAN CHURCH,2152 W. GRAF,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 62A,62A,1965,62,31,HOPE LUTHERAN CHURCH,2152 W. GRAF,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 62B,62B,2053,62,31,HOPE LUTHERAN CHURCH,2152 W. GRAF,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 62C,62C,2027,62,31,HOPE LUTHERAN CHURCH,2152 W. GRAF,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 62D,62D,2488,62,31,HOPE LUTHERAN CHURCH,2152 W. GRAF,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 63A,63A,2471,63,32,HOPE LUTHERAN CHURCH,2152 W. GRAF,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 63B,63B,1957,63,32,MSU SHROYER GYM,Bobcat Cirlce - MSU,BOZEMAN,59715,7:00 am - 8:00 pm,,
Gallatin,PCT 63C,63C,2648,63,32,HOPE LUTHERAN CHURCH,2152 W GRAF,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 64A,64A,1172,64,32,POVAH CENTER,10 GEYSER ST,WEST YELLOWSTONE,59758,7:00 am - 8:00 pm,,
Gallatin,PCT 64B,64B,1910,64,32,BIG SKY WATER/SEWER OFFICE,561 LITTLE COYOTE RD,BIG SKY,59716,7:00 am - 8:00 pm,,
Gallatin,PCT 64C,64C,2309,64,32,GALLATIN GATEWAY COMM CTR,145 MILL ST,GALLATIN GATEWAY,59730,7:00 am - 8:00 pm,,
Gallatin,PCT 64D,64D,2966,64,32,FAIRGROUNDS BLDG 2,TAMARACK & BLACK,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 65A,65A,2402,65,33,FAIRGROUNDS BLDG 2,TAMARACK & BLACK,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 65B,65B,2746,65,33,FAIRGROUNDS BLDG 2,TAMARACK & BLACK,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 65C,65C,2879,65,33,FAIRGROUNDS BLDG 2,TAMARACK & BLACK,BOZEMAN,59718,7:00 am - 8:00 pm,,
Gallatin,PCT 66A,66A,2649,66,33,FAIRGROUNDS BLDG 1,TAMARACK & BLACK,BOZEMAN,59715,7:00 am - 8:00 pm,,
Gallatin,PCT 66B,66B,2550,66,33,FAIRGROUNDS BLDG 1,TAMARACK & BLACK,BOZEMAN,59715,7:00 am - 8:00 pm,,
Gallatin,PCT 66C,66C,2540,66,33,FAIRGROUNDS BLDG 1,TAMARACK & BLACK,BOZEMAN,59715,7:00 am - 8:00 pm,,
Gallatin,PCT 67A,67A,1618,67,34,FAIRGROUNDS BLDG 3,TAMARACK & BLACK,BOZEMAN,59715,7:00 am - 8:00 pm,,
Gallatin,PCT 67B,67B,2545,67,34,BELGRADE SPECL EVENTS CNTR,220 SPOONER RD,BELGRADE,59714,7:00 am - 8:00 pm,,
Gallatin,PCT 67C,67C,2370,67,34,BELGRADE SPECL EVENTS CNTR,220 SPOONER RD,BELGRADE,59714,7:00 am - 8:00 pm,,
Gallatin,PCT 68A,68A,2545,68,34,RIVER ROCK COMM CTR,101 RIVER ROCK RD,BELGRADE,59714,7:00 am - 8:00 pm,,
Gallatin,PCT 68B,68B,1993,68,34,RIVER ROCK COMM CTR,101 RIVER ROCK RD,BELGRADE,59714,7:00 am - 8:00 pm,,
Gallatin,PCT 68C,68C,2145,68,34,BELGRADE SPECL EVENTS CNTR,220 SPOONER RD,BELGRADE,59714,7:00 am - 8:00 pm,,
Gallatin,PCT 69A,69A,1903,69,35,THREE FORKS HIGH SCHOOL,212 E NEAL ST,THREE FORKS,59752,7:00 am - 8:00 pm,,
Gallatin,PCT 69B,69B,1683,69,35,MANHATTAN CHRISTIAN SCHOOL,8000 CHURCHILL RD,MANHATTAN,59741,7:00 am - 8:00 pm,,
Gallatin,PCT 69C,69C,1780,69,35,MANHATTAN HIGH SCHL,200 W FULTON AVE,MANHATTAN,59741,7:00 am - 8:00 pm,,
Gallatin,PCT 69D,69D,1457,69,35,FAIRGROUNDS BLDG 3,TAMARACK & BLACK,BOZEMAN,59715,7:00 am - 8:00 pm,,
Garfield,PRECINCT 01,PREC_01,558,37,19,COURT HOUSE,352 LEAVITT AVE,JORDON,59337,7:00 am - 8:00 pm,,
Garfield,PRECINCT 07,PREC_07,111,37,19,COHAGEN - COMMUNITY HALL,19 3RD STREET E,COHAGEN,59322,* Noon - 8:00 pm,,
Garfield,PRECINCT 14,PREC_14,115,37,19,SANDSPRINGS SCHOOL,3194 HIGHWAY 200 W,SAND SPRINGS,59077,* Noon - 8:00 pm,,
Garfield,PRECINCT 19,PREC_19,97,37,19,BRUSETT - COMMUNITY HALL,2071 EDWARDS ROAD,BRUSETT,59318,* Noon - 8:00 pm,,
Glacier,PCT 01,PCT 01,541,18,9,CB VOTING CENTER 01,913 E. RAILROAD,CUT BANK,59427,7:00 am - 8:00 pm,*De LaSalle School, Browning (in addition to Co office) 
Glacier,PCT 02,PCT 02,424,18,9,CB VOTING CENTER 02,913 E. RAILROAD,CUT BANK,59427,7:00 am - 8:00 pm,,
Glacier,PCT 03,PCT 03,404,16,8,CB VOTING CENTER 03,913 E. RAILROAD,CUT BANK,59427,7:00 am - 8:00 pm,,
Glacier,PCT 04,PCT 04,266,16,8,CB VOTING CENTER 04,913 E. RAILROAD,CUT BANK,59427,7:00 am - 8:00 pm,,
Glacier,PCT 05,PCT 05,627,16,8,GEWAREHOUSE 05,48 SANTA RITA HIGHWAY,CUT BANK,59427,7:00 am - 8:00 pm,,
Glacier,PCT 06,PCT 06,83,18,9,GCCOURTHSE 06,512 E. MAIN,CUT BANK,59427,* Noon - 8:00 pm,,
Glacier,PCT 07,PCT 07,51,16,8,CCD CENTER 07,De LaSalle School 104 1ST ST NW,BROWNING,59417,7:00 am - 8:00 pm,,
Glacier,PCT 08,PCT 08,565,15,8,CCD CENTER 08,De LaSalle School 104 1ST ST NW,BROWNING,59417,7:00 am - 8:00 pm,,
Glacier,PCT 09,PCT 09,1678,16,8,CCD CENTER 09,De LaSalle School 104 1ST ST NW,BROWNING,59417,7:00 am - 8:00 pm,,
Glacier,PCT 10,PCT 10,409,16,8,EGP WOMENS CLUB 10,EAST GLACIER,EAST GLACIER,59434,7:00 am - 8:00 pm,,
Glacier,PCT 11,PCT 11,168,16,8,DOLORES SALOIS RESIDENCE 11,BLACKFOOT,BLACKFOOT,59417,* Noon - 8:00 pm,,
Glacier,PCT 12,PCT 12,315,16,8,CCD CENTER 12,De LaSalle School 104 1ST ST NW,BROWNING,59417,7:00 am - 8:00 pm,,
Glacier,PCT 13,PCT 13,321,16,8,CCD CENTER 13,De LaSalle School 104 1ST ST NW,BROWNING,59417,7:00 am - 8:00 pm,,
Glacier,PCT 15,PCT 15,309,16,8,BABB SCHOOL 15,BABB,BABB,59411,* Noon - 8:00 pm,,
Glacier,PCT 19,PCT 19,248,16,8,CCD CENTER 19,De LaSalle School 104 1ST ST NW,BROWNING,59417,7:00 am - 8:00 pm,,
Glacier,PCT 21C,PCT 21C,366,15,8,CCD CENTER 21,De LaSalle School 104 1ST ST NW,BROWNING,59417,7:00 am - 8:00 pm,,
Golden Valley,LAVINA,LAVINA,276,30,15,LAVINA SENIOR CENTER,117 MAIN STREET,LAVINA,59046,* Noon - 8:00 pm,,
Golden Valley,RYEGATE,RYEGATE,291,30,15,RYEGATE COURT HOUSE,107 KEMP,RYEGATE,59074,* Noon - 8:00 pm,,
Granite,PRECINCT #1,PREC_1,531,77,39,GRANITE MUSEUM,135 SOUTH SANSOME,PHILIPSBURG,59858,7:00 am - 8:00 pm,,
Granite,PRECINCT #10,PREC_10,575,77,39,DRUMMOND COMMUNITY HALL,54 EAST BROAD STREET,DRUMMOND,59832,7:00 am - 8:00 pm,,
Granite,PRECINCT #2,PREC_2,669,77,39,GRANITE MUSEUM,135 SOUTH SANSOME,PHILIPSBURG,59858,7:00 am - 8:00 pm,,
Granite,PRECINCT #9,PREC_9,410,77,39,HALL SCHOOL,8 FARM TO MARKET ROAD,HALL,59837,7:00 am - 8:00 pm,,
Hill,PRECINCT #01,PREC_01,897,28,14,HAVRE HIGH SCHOOL GYM - 01,900 18TH ST,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #02,PREC_02,589,28,14,ST JUDE'S PARISH CENTER - 02,440 7TH AVE,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #03,PREC_03,762,28,14,HAVRE MIDDLE SCHOOL GYM-03,1441 11TH ST W,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #07,PREC_07,834,28,14,HAVRE HIGH SCHOOL GYM - 07,900 18TH ST,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #08,PREC_08,714,28,14,HAVRE HIGH SCHOOL GYM - 08,900 18TH ST,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #09,PREC_09,617,28,14,HAVRE HIGH SCHOOL GYM - 09,900 18TH ST,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #10,PREC_10,530,28,14,ST JUDE'S PARISH CENTER - 10,440 7TH AVE,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #13,PREC_13,322,28,14,HAVRE MIDDLE SCHOOL GYM - 13,1441 11TH ST W,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #14,PREC_14,409,32,16,H.R.D.C.-HUMAN RES DEV COUNCIL -14,2229 5TH AVE,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #15,PREC_15,317,27,14,HAVRE MIDDLE SCHOOL - 15,1441 11TH STREET WEST,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #16,PREC_16,314,28,14,HAVRE MIDDLE SCHOOL -16,1441 11TH STREET WEST,HAVRE,59501,7:00 am - 8:00 pm,,
Hill,PRECINCT #18,PREC_18,271,32,16,BOX ELDER SCHOOL REAR ENT - 18,205 MAIN STREET,BOX ELDER,59521,7:00 am - 8:00 pm,,
Hill,PRECINCT #20,PREC_20,332,27,14,HI-LINE COMM CNT -20,502 5TH STREET,HINGHAM,59528,7:00 am - 8:00 pm,,
Hill,PRECINCT #21,PREC_21,156,27,14,HI-LINE COMM CNT- 21,502 5TH STREET,HINGHAM,59528,7:00 am - 8:00 pm,,
Hill,PRECINCT #22,PREC_22,304,27,14,HI-LINE COMM CNT- 22,502 5TH STREET,HINGHAM,59528,7:00 am - 8:00 pm,,
Hill,PRECINCT #25,PREC_25,747,33,17,ST JUDE'S PARISH CENTER - 25,440 7TH AVE,HAVRE,59501,7:00 am - 8:00 pm,,
